bike,start_time,end_time,start_st,end_st
e_146_0,2017-07-01 07:28:25.104785,2017-07-01 07:35:14.786890,146,268
483_17,2017-07-01 07:28:38.920687,2017-07-01 07:30:41.181596,401,265
e_391_0,2017-07-01 07:28:45.703092,2017-07-01 07:33:46.514861,391,414
319_15,2017-07-01 07:28:45.976431,2017-07-01 07:48:29.675157,319,295
e_377_0,2017-07-01 07:28:51.718379,2017-07-01 07:35:37.338439,377,358
387_18,2017-07-01 07:28:54.918045,2017-07-01 07:37:57.579951,387,3436
3383_11,2017-07-01 07:28:55.055250,2017-07-01 07:57:33.096726,3383,459
457_18,2017-07-01 07:28:59.433544,2017-07-01 07:32:56.283265,457,469
3100_19,2017-07-01 07:29:02.351453,2017-07-01 07:43:54.596542,3100,531
525_19,2017-07-01 07:29:12.836178,2017-07-01 07:45:43.412885,525,3295
e_3164_0,2017-07-01 07:29:17.885556,2017-07-01 07:48:43.405830,3164,3391
e_168_1,2017-07-01 07:29:19.514052,2017-07-01 07:50:20.995301,168,3170
e_3476_0,2017-07-01 07:29:19.964556,2017-07-01 07:44:14.486302,3476,239
e_2023_0,2017-07-01 07:29:28.984656,2017-07-01 07:32:59.148409,2023,3233
e_400_0,2017-07-01 07:29:38.052375,2017-07-01 07:33:55.729316,400,401
e_3382_0,2017-07-01 07:29:45.411737,2017-07-01 07:34:08.781666,3382,3401
e_3165_1,2017-07-01 07:29:48.786766,2017-07-01 07:33:16.235774,3165,2006
e_305_0,2017-07-01 07:29:53.884181,2017-07-01 07:40:28.263629,305,173
e_491_0,2017-07-01 07:29:54.563703,2017-07-01 07:34:19.823281,491,357
e_3107_0,2017-07-01 07:29:56.942565,2017-07-01 07:35:20.273179,3107,3078
487_17,2017-07-01 07:29:58.512472,2017-07-01 07:47:34.202795,402,358
e_519_2,2017-07-01 07:30:05.310624,2017-07-01 07:34:13.687137,519,518
e_128_0,2017-07-01 07:30:11.438365,2017-07-01 07:36:19.860633,128,319
540_14,2017-07-01 07:30:19.285123,2017-07-01 07:37:51.109273,385,528
e_3415_0,2017-07-01 07:30:22.869585,2017-07-01 07:33:52.792910,3415,3404
3344_9,2017-07-01 07:30:23.007531,2017-07-01 07:35:28.281887,3344,3353
e_434_1,2017-07-01 07:30:28.101128,2017-07-01 07:32:00.508650,434,334
3373_13,2017-07-01 07:30:28.898548,2017-07-01 07:33:42.668721,3373,3384
523_24,2017-07-01 07:30:35.107798,2017-07-01 08:07:51.656513,523,392
406_16,2017-07-01 07:30:37.143824,2017-07-01 07:41:51.302526,406,467
e_3263_0,2017-07-01 07:30:38.165803,2017-07-01 07:39:54.048352,3263,520
349_11,2017-07-01 07:30:45.806699,2017-07-01 07:43:32.467108,349,504
e_127_1,2017-07-01 07:30:56.094223,2017-07-01 07:42:35.157200,127,362
457_17,2017-07-01 07:31:03.312022,2017-07-01 07:34:55.098495,457,3458
422_27,2017-07-01 07:31:06.027055,2017-07-01 07:44:41.943105,3286,524
3145_21,2017-07-01 07:31:34.194431,2017-07-01 07:48:01.592537,3145,524
e_336_1,2017-07-01 07:31:36.643081,2017-07-01 07:39:59.061139,336,312
e_3282_1,2017-07-01 07:31:38.129453,2017-07-01 07:36:52.520524,3282,3136
127_15,2017-07-01 07:31:48.561758,2017-07-01 07:41:26.233363,3260,491
358_17,2017-07-01 07:31:53.369257,2017-07-01 08:02:18.982157,284,416
e_412_0,2017-07-01 07:32:08.293467,2017-07-01 07:35:30.256916,412,355
e_3331_1,2017-07-01 07:32:10.910320,2017-07-01 07:39:07.676091,3331,3172
e_3158_0,2017-07-01 07:32:11.593126,2017-07-01 07:34:14.700008,3158,447
3319_9,2017-07-01 07:32:15.203891,2017-07-01 07:46:39.779658,3319,3422
346_13,2017-07-01 07:32:16.171223,2017-07-01 07:39:01.352759,212,496
e_3335_0,2017-07-01 07:32:22.431807,2017-07-01 07:35:44.175257,3335,3361
3077_15,2017-07-01 07:32:22.744421,2017-07-01 07:37:14.662913,3077,3074
3235_14,2017-07-01 07:32:46.929091,2017-07-01 07:51:42.124517,2003,3243
486_19,2017-07-01 07:32:50.014596,2017-07-01 07:51:11.943204,486,428
e_3372_1,2017-07-01 07:32:50.760392,2017-07-01 07:44:40.206724,3372,499
212_12,2017-07-01 07:33:01.176330,2017-07-01 07:36:21.495066,212,453
e_360_0,2017-07-01 07:33:01.897857,2017-07-01 07:38:56.989568,360,405
438_19,2017-07-01 07:33:03.640573,2017-07-01 07:43:28.879781,438,358
e_3263_1,2017-07-01 07:33:09.979539,2017-07-01 07:38:32.097554,3263,151
e_3159_0,2017-07-01 07:33:12.232727,2017-07-01 07:41:33.605623,3159,359
442_25,2017-07-01 07:33:27.252155,2017-07-01 07:37:25.783199,442,362
e_514_1,2017-07-01 07:33:56.407185,2017-07-01 07:47:32.129101,514,484
3169_19,2017-07-01 07:33:59.982744,2017-07-01 07:50:52.714565,3169,525
257_19,2017-07-01 07:34:07.109596,2017-07-01 07:40:31.525816,257,319
491_25,2017-07-01 07:34:19.989949,2017-07-01 07:44:13.835707,491,434
e_195_0,2017-07-01 07:34:21.002473,2017-07-01 07:36:41.375915,195,427
410_16,2017-07-01 07:34:27.006445,2017-07-01 07:58:23.681573,312,3180
e_458_0,2017-07-01 07:34:28.727663,2017-07-01 07:43:33.583276,458,3263
335_13,2017-07-01 07:34:33.906521,2017-07-01 07:37:11.990653,335,3244
e_3203_0,2017-07-01 07:34:40.701919,2017-07-01 08:01:25.405345,3203,3185
3255_8,2017-07-01 07:34:41.195427,2017-07-01 07:51:18.050519,3255,3427
e_473_0,2017-07-01 07:34:41.712956,2017-07-01 07:40:04.455127,473,331
531_19,2017-07-01 07:34:54.135620,2017-07-01 07:49:57.175324,531,3092
e_3377_0,2017-07-01 07:35:03.237057,2017-07-01 07:50:59.519901,3377,406
e_3082_0,2017-07-01 07:35:04.233530,2017-07-01 07:38:59.224549,3082,532
457_19,2017-07-01 07:35:06.784718,2017-07-01 07:48:02.647703,484,238
212_11,2017-07-01 07:35:09.098270,2017-07-01 07:41:18.848603,212,358
3083_14,2017-07-01 07:35:26.417673,2017-07-01 07:37:13.687815,3083,3081
e_3116_0,2017-07-01 07:35:35.464670,2017-07-01 07:40:43.451466,3116,3121
e_3178_1,2017-07-01 07:35:38.509007,2017-07-01 08:03:24.727982,3178,426
3002_10,2017-07-01 07:35:46.484164,2017-07-01 07:52:38.205912,3002,334
e_377_1,2017-07-01 07:35:51.948499,2017-07-01 07:56:13.732485,377,3074
e_3295_0,2017-07-01 07:35:57.379251,2017-07-01 07:41:12.267856,3295,3316
396_11,2017-07-01 07:36:06.873310,2017-07-01 07:49:02.510071,396,3417
e_539_0,2017-07-01 07:36:08.894055,2017-07-01 07:41:50.883179,539,3077
e_276_0,2017-07-01 07:36:10.093356,2017-07-01 07:52:06.021180,276,526
e_212_0,2017-07-01 07:36:17.221567,2017-07-01 07:42:51.182065,426,383
e_151_0,2017-07-01 07:36:48.374380,2017-07-01 07:57:15.478390,151,499
485_18,2017-07-01 07:36:49.619857,2017-07-01 07:40:53.289684,485,519
e_348_0,2017-07-01 07:36:51.593531,2017-07-01 07:39:01.990376,348,251
e_471_0,2017-07-01 07:37:09.487818,2017-07-01 07:39:35.094696,471,532
