stationid,tripsin,tripsout,tripsfailedin,tripsfailedout,tripsfailedout_battery,trips_failedout_destinationfull,station_capacity,demand,percent,edocks
366,9994,9996,109,1603,0,563,33,21702,0.001280385,1
362,10190,10202,8,1184,0,436,57,21584,0.001273423,1
3416,10128,10135,60,1144,0,426,30,21467,0.001266521,1
3305,9922,9925,7,1538,0,127,39,21392,0.001262096,1
3134,9988,10008,0,1387,0,183,51,21383,0.001261565,1
3314,9725,9726,17,1845,0,117,32,21313,0.001257435,1
406,9967,9975,17,1296,0,459,34,21255,0.001254013,1
249,9867,9877,298,1127,0,367,27,21169,0.001248939,1
337,9916,9931,227,1067,0,306,37,21141,0.001247287,1
143,9853,9862,191,1198,0,557,24,21104,0.001245104,1
3402,9981,9984,118,911,0,496,23,20994,0.001238614,1
467,10018,10002,106,854,0,532,34,20980,0.001237788,1
2009,9960,9969,39,1003,0,328,35,20971,0.001237257,1
3372,9473,9487,7,1922,0,188,39,20889,0.001232419,1
349,9615,9613,189,1465,0,402,23,20882,0.001232006,1
239,9543,9535,55,1694,0,461,31,20827,0.001228762,1
3243,9518,9519,27,1384,0,130,29,20448,0.001206401,1
3318,9554,9563,2,1275,0,114,39,20394,0.001203215,1
384,9629,9634,85,1033,0,446,30,20381,0.001202448,1
3462,9355,9371,60,1572,0,266,39,20358,0.001201091,1
454,9449,9461,17,1355,0,264,35,20282,0.001196607,1
534,9375,9387,502,959,0,299,31,20223,0.001193126,1
3096,9512,9493,45,1141,0,705,39,20191,0.001191239,1
3178,9354,9357,17,1311,0,158,39,20039,0.001182271,1
3113,9483,9489,104,821,0,506,27,19897,0.001173893,1
3169,9124,9130,14,1549,0,164,39,19817,0.001169173,1
393,9001,9005,237,1184,0,294,31,19427,0.001146164,1
3232,9237,9221,427,527,0,458,31,19412,0.001145279,1
157,9061,9061,127,1108,0,459,23,19357,0.001142034,1
3320,8699,8707,0,1877,0,102,49,19283,0.001137668,1
411,8844,8852,158,1367,0,323,23,19221,0.00113401,1
3162,8814,8829,6,1539,0,143,39,19188,0.001132063,1
414,8828,8825,311,994,0,369,24,18958,0.001118493,1
3177,7749,7768,0,3351,0,120,63,18868,0.001113184,1
3447,8648,8656,8,1544,0,152,30,18856,0.001112476,1
3301,8483,8492,5,1752,0,82,39,18732,0.00110516,1
302,8489,8485,163,1568,0,316,23,18705,0.001103567,1
3110,8884,8890,68,863,0,497,27,18705,0.001103567,1
3288,8742,8750,16,1138,0,136,39,18646,0.001100086,1
3170,8142,8155,4,2335,0,105,35,18636,0.001099496,1
332,8633,8627,122,1179,0,292,24,18561,0.001095071,1
3350,8423,8427,3,1649,0,103,39,18502,0.00109159,1
3474,8815,8820,173,520,0,275,36,18328,0.001081324,1
3285,8075,8082,2,2168,0,94,43,18327,0.001081265,1
3362,8412,8423,4,1371,0,101,34,18210,0.001074363,1
3286,8336,8326,4,1499,0,101,30,18165,0.001071708,1
3186,6783,6800,3,4473,2,78,42,18059,0.001065454,1
331,8326,8331,84,1102,0,293,27,17843,0.00105271,1
356,7620,7626,107,2487,0,297,23,17840,0.001052533,1
3139,7851,7868,0,2086,0,91,43,17805,0.001050468,1
3336,8051,8065,0,1544,0,109,41,17660,0.001041913,1
3382,8270,8268,82,836,0,488,31,17456,0.001029878,1
342,8126,8109,113,1095,0,293,29,17443,0.001029111,1
408,8151,8142,139,988,0,354,23,17420,0.001027754,1
291,8030,8030,123,1197,0,302,20,17380,0.001025394,1
3180,8182,8178,108,911,0,496,31,17379,0.001025335,1
3151,8039,8050,9,1262,0,130,43,17360,0.001024214,1
3155,8098,8114,1,1137,0,176,39,17350,0.001023624,1
3293,7779,7788,17,1661,0,107,24,17245,0.001017429,1
3331,7894,7903,1,1398,0,132,39,17196,0.001014538,1
3108,7918,7920,96,1255,0,469,24,17189,0.001014125,1
390,7999,8006,66,1087,0,347,31,17158,0.001012296,1
3367,7752,7768,2,1561,0,104,39,17083,0.001007871,1
471,7997,8005,87,956,0,451,31,17045,0.001005629,1
314,7933,7943,25,1114,0,349,39,17015,0.001003859,1
232,8049,8054,162,724,0,326,23,16989,0.001002325,1
3238,7538,7546,10,1893,0,66,30,16987,0.001002207,1
3354,7818,7818,22,1292,0,230,31,16950,0.001000024,1
3101,8079,8079,115,641,0,441,27,16914,0.0009979,0
437,7813,7807,23,1189,0,236,24,16832,0.000993063,0
3254,7829,7818,76,1086,1,74,19,16809,0.000991706,0
3146,7648,7652,0,1389,0,92,47,16689,0.000984626,0
3115,7906,7899,75,668,0,346,34,16548,0.000976307,0
316,7917,7915,33,604,0,307,43,16469,0.000971646,0
310,7923,7926,68,541,0,390,36,16458,0.000970997,0
