bike,start_time,end_time,start_st,end_st
3425_2,2017-07-04 14:43:04.046512,2017-07-04 14:45:15.837162,304,534
3161_8,2017-07-04 15:02:38.410100,2017-07-04 15:04:15.301201,360,316
3290_5,2017-07-04 15:12:29.679934,2017-07-04 15:14:49.014538,315,337
3350_0,2017-07-04 19:48:35.949841,2017-07-04 19:53:34.476907,326,236
3119_2,2017-07-04 19:47:05.799827,2017-07-04 19:53:55.573292,478,448
395_14,2017-07-04 20:22:22.125307,2017-07-04 20:24:43.281260,326,236
503_13,2017-07-04 20:22:28.470456,2017-07-04 20:26:23.913268,326,236
3362_11,2017-07-04 20:48:15.068040,2017-07-04 20:50:41.342959,236,3263
3162_19,2017-07-04 20:56:54.902276,2017-07-04 21:00:16.195493,326,432
3472_7,2017-07-04 21:00:48.006306,2017-07-04 21:03:25.320096,432,317
357_3,2017-07-04 21:00:45.857069,2017-07-04 21:04:24.502536,432,317
3161_1,2017-07-04 21:01:03.003561,2017-07-04 21:04:29.485546,432,317
3343_0,2017-07-04 21:03:54.377789,2017-07-04 21:06:06.275203,317,301
484_6,2017-07-04 21:06:00.653670,2017-07-04 21:09:04.878553,301,317
146_19,2017-07-04 21:20:07.412316,2017-07-04 21:26:03.608253,3263,483
517_23,2017-07-04 21:31:46.725216,2017-07-04 21:34:51.796492,236,3263
490_11,2017-07-04 21:43:22.597376,2017-07-04 21:46:56.970347,410,312
323_17,2017-07-04 21:57:19.850596,2017-07-04 22:00:53.377416,438,237
3158_8,2017-07-04 22:09:42.772645,2017-07-04 22:12:20.148355,403,428
383_9,2017-07-04 22:17:36.676030,2017-07-04 22:22:38.780830,432,393
389_8,2017-07-04 23:02:51.422278,2017-07-04 23:05:33.351517,438,236
3244_3,2017-07-05 08:58:15.837983,2017-07-05 09:00:11.545524,309,249
3316_10,2017-07-05 08:58:10.184123,2017-07-05 09:00:28.690916,309,249
2003_8,2017-07-05 09:36:23.882403,2017-07-05 09:39:08.603753,146,79
524_14,2017-07-05 09:53:05.338034,2017-07-05 09:55:31.649327,315,337
339_8,2017-07-05 09:54:34.117774,2017-07-05 09:58:36.685683,315,259
2008_10,2017-07-05 10:35:09.378623,2017-07-05 10:39:42.415600,417,320
410_12,2017-07-05 10:55:54.770623,2017-07-05 10:59:34.948106,430,321
3321_8,2017-07-05 11:59:46.554915,2017-07-05 12:01:02.397350,249,146
3372_8,2017-07-05 12:56:14.944038,2017-07-05 12:58:50.672379,3461,146
3117_6,2017-07-05 13:39:39.276605,2017-07-05 13:44:00.877960,249,3461
3142_8,2017-07-05 14:51:32.756257,2017-07-05 14:54:27.138764,309,426
2010_10,2017-07-05 14:56:04.295048,2017-07-05 14:59:15.366759,426,327
228_20,2017-07-05 14:56:30.436917,2017-07-05 14:59:18.214007,426,327
334_11,2017-07-05 15:31:00.056667,2017-07-05 15:34:47.024189,327,146
486_2,2017-07-05 15:33:37.899608,2017-07-05 15:37:25.466520,146,417
3244_13,2017-07-05 19:06:03.143707,2017-07-05 19:07:59.169277,237,483
3363_14,2017-07-05 20:07:53.831043,2017-07-05 20:10:50.524931,326,237
3129_6,2017-07-05 20:09:53.700405,2017-07-05 20:12:12.078530,237,438
252_5,2017-07-05 20:19:43.454918,2017-07-05 20:21:09.716255,317,301
514_24,2017-07-05 20:19:31.083385,2017-07-05 20:21:34.185084,317,301
3323_23,2017-07-05 20:20:17.311423,2017-07-05 20:22:12.868852,317,301
526_5,2017-07-05 20:21:21.561840,2017-07-05 20:24:40.504952,301,150
516_6,2017-07-05 20:23:12.130619,2017-07-05 20:25:05.365717,301,150
3403_3,2017-07-05 20:27:29.266536,2017-07-05 20:29:16.442367,301,150
479_11,2017-07-05 20:29:43.571707,2017-07-05 20:31:59.266369,237,483
3324_7,2017-07-05 20:29:57.734949,2017-07-05 20:32:00.872363,237,483
254_3,2017-07-05 20:31:41.653761,2017-07-05 20:32:53.238778,504,2003
3510_15,2017-07-05 20:33:24.878415,2017-07-05 20:35:58.023097,411,266
276_10,2017-07-05 20:34:25.106638,2017-07-05 20:36:16.123139,411,394
3314_15,2017-07-05 20:41:26.187522,2017-07-05 20:45:52.167685,511,504
3135_7,2017-07-05 20:44:22.598821,2017-07-05 20:46:50.446423,504,545
264_3,2017-07-05 20:50:29.009498,2017-07-05 20:52:18.391343,326,237
405_17,2017-07-05 20:50:01.551031,2017-07-05 20:53:06.835798,326,237
3100_1,2017-07-05 21:05:49.280812,2017-07-05 21:07:39.659152,2003,504
3107_5,2017-07-05 21:22:57.083384,2017-07-05 21:25:48.605033,301,317
3371_12,2017-07-05 21:22:18.560444,2017-07-05 21:26:06.609827,301,317
339_7,2017-07-05 21:22:53.691589,2017-07-05 21:27:42.573779,349,317
3187_7,2017-07-05 21:25:03.181283,2017-07-05 21:27:51.471963,317,150
3165_21,2017-07-05 21:24:15.826409,2017-07-05 21:28:30.966080,349,150
364_4,2017-07-05 21:25:04.148971,2017-07-05 21:28:37.654996,317,150
247_6,2017-07-05 22:11:33.391605,2017-07-05 22:14:07.617798,483,237
285_18,2017-07-05 22:29:29.433103,2017-07-05 22:33:14.160497,236,3263
377_7,2017-07-05 23:20:46.469015,2017-07-05 23:22:55.173043,236,3263
3294_0,2017-07-06 00:13:18.943469,2017-07-06 00:18:49.301964,433,445
3150_2,2017-07-06 08:49:21.513331,2017-07-06 08:51:59.275135,522,456
525_6,2017-07-06 08:50:04.787204,2017-07-06 08:52:29.887409,503,3463
3142_4,2017-07-06 08:51:57.339521,2017-07-06 08:53:27.354743,503,3463
